Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr
1-Jan-10,0,1261,277,142,63,2143,3412,465,725,447,100,196,1356,683,112,4203,1292,213,1014
1-Jan-10,1,720,105,60,58,1722,2416,262,343,279,91,464,510,218,99,3215,2000,1045,392
1-Jan-10,2,342,64,70,48,799,1495,273,317,216,110,270,245,99,54,1692,2033,1426,136
1-Jan-10,3,280,69,35,50,518,1004,256,248,150,92,351,127,30,36,801,1574,1034,71
1-Jan-10,4,99,29,27,31,295,606,209,181,111,135,335,96,30,47,476,1006,702,60
1-Jan-10,5,61,28,11,20,146,322,227,203,83,58,260,78,7,37,278,639,436,43
1-Jan-10,6,41,32,20,13,130,195,44,107,47,30,26,12,11,5,162,350,196,31
1-Jan-10,7,38,36,10,5,95,188,33,47,81,17,26,20,14,18,136,192,106,25
1-Jan-10,8,34,72,25,14,118,181,73,91,85,20,25,19,4,28,173,252,62,51
1-Jan-10,9,33,84,28,19,278,376,202,234,161,26,45,49,18,19,240,227,76,39
1-Jan-10,10,136,150,56,12,508,760,440,531,346,15,58,81,38,46,523,382,118,56
1-Jan-10,11,233,195,73,36,923,1356,862,987,448,38,67,135,60,66,877,637,195,102
1-Jan-10,12,386,167,47,29,1472,1761,1193,1436,514,26,109,259,137,57,1274,797,239,151
1-Jan-10,13,600,161,60,40,1737,2099,1438,1605,591,53,99,440,244,116,1469,946,280,164
1-Jan-10,14,637,223,65,53,2034,2291,1623,1773,567,34,71,526,277,105,1592,1055,389,266
1-Jan-10,15,775,174,69,32,2186,2248,1625,1893,596,53,75,635,329,115,1641,1143,472,301
1-Jan-10,16,807,182,62,43,2086,2092,1516,1838,433,41,79,638,395,103,1578,1056,485,357
1-Jan-10,17,655,166,65,35,1844,1831,1057,1013,323,25,88,577,307,104,1494,1105,470,287
1-Jan-10,18,709,174,79,25,1759,1395,582,466,322,40,69,404,257,68,1202,1092,494,220
1-Jan-10,19,527,143,112,27,1376,1636,419,461,261,37,71,436,247,79,1178,901,340,166
1-Jan-10,20,548,156,32,36,1447,1535,464,328,253,29,49,490,203,57,1253,904,370,198
1-Jan-10,21,267,59,24,13,1214,1234,378,311,179,17,43,122,71,19,911,764,277,88
1-Jan-10,22,279,67,43,15,732,835,217,217,145,16,39,91,47,7,1086,482,271,41
1-Jan-10,23,167,60,30,32,603,1160,166,205,107,13,41,52,30,18,924,488,302,27
2-Jan-10,0,114,25,7,16,323,374,135,88,52,6,13,32,14,9,220,344,175,41
2-Jan-10,1,37,9,5,7,143,202,45,69,41,5,16,8,6,8,131,163,102,26
2-Jan-10,2,39,3,1,3,92,185,59,57,26,3,5,11,0,0,58,74,50,3
2-Jan-10,3,7,15,4,3,58,103,30,31,10,1,2,12,0,1,43,38,23,22
2-Jan-10,4,8,10,3,10,42,80,40,28,19,3,15,3,0,2,46,59,38,2
2-Jan-10,5,15,21,13,3,26,72,13,15,8,0,1,1,0,0,49,113,63,8
2-Jan-10,6,18,21,8,1,82,80,29,47,20,10,5,5,5,3,52,114,53,14
2-Jan-10,7,37,54,27,7,79,144,41,59,56,11,14,5,11,8,68,123,41,20
2-Jan-10,8,78,68,29,8,114,254,162,200,141,14,34,34,21,24,153,208,74,33
2-Jan-10,9,133,121,60,30,296,623,345,528,372,29,44,98,38,33,434,356,100,50
2-Jan-10,10,356,158,88,37,550,1268,731,1127,689,40,62,139,48,46,784,627,187,122
2-Jan-10,11,554,220,77,64,884,1949,1422,2022,1025,39,65,310,210,128,885,951,370,230
2-Jan-10,12,901,278,96,67,1263,2588,1853,2763,1389,62,129,434,230,96,1215,1109,382,268
2-Jan-10,13,1241,211,110,52,1871,3071,2357,3196,1601,51,221,458,277,103,1458,1186,412,281
2-Jan-10,14,1273,293,150,50,2107,3301,2535,3353,1596,50,93,740,391,134,1551,1497,512,364
2-Jan-10,15,1366,254,119,67,2193,3400,2590,3532,1611,47,60,733,541,145,1744,1518,526,502
2-Jan-10,16,1330,302,134,54,1915,2996,2245,3287,1380,58,54,649,346,154,1714,1557,602,525
2-Jan-10,17,1166,231,105,39,1853,2641,1527,2500,830,58,91,368,220,125,1438,1299,503,558
2-Jan-10,18,771,153,107,33,1942,1752,948,1137,377,39,91,372,248,71,1162,1142,477,703
2-Jan-10,19,652,151,95,45,1491,1334,593,480,250,28,125,316,146,39,1062,919,313,167
2-Jan-10,20,602,124,55,35,1517,1185,371,301,203,47,98,263,126,36,908,808,353,102
