Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr
3-Jan-12,7,134,414,386,1124,186,275,182,217,207,564,214,73,36,186,330,885,272,194
3-Jan-12,8,385,1171,1080,2664,486,661,514,595,540,1123,436,190,53,301,713,1846,506,238
3-Jan-12,9,413,788,499,953,518,860,547,863,642,622,258,143,46,130,562,1119,237,87
3-Jan-12,10,541,542,309,392,755,1250,966,1431,786,212,144,128,48,86,623,902,190,71
3-Jan-12,11,773,394,273,298,772,1875,1669,2108,1012,208,98,199,61,110,749,1009,231,86
3-Jan-12,12,1161,1291,430,511,994,2734,2646,3392,1749,640,220,286,113,338,930,1643,365,135
3-Jan-12,13,1303,1232,514,561,1294,3126,2839,3820,1925,514,215,333,193,282,1100,1762,401,204
3-Jan-12,14,1265,512,350,374,1433,2802,2312,2924,1383,207,151,265,152,147,991,1561,389,142
3-Jan-12,15,1369,493,331,544,1589,2775,2187,2996,1286,244,122,253,145,145,1032,1590,436,189
3-Jan-12,16,1344,537,686,1192,1680,2813,2250,2926,1134,787,335,275,141,259,1225,2107,517,226
3-Jan-12,17,1410,776,1030,2084,1843,2564,2107,2651,1068,1233,554,309,114,417,1563,2802,846,311
3-Jan-12,18,1180,325,329,627,1908,2046,1448,1297,546,373,218,424,210,226,964,1586,470,256
3-Jan-12,19,887,220,116,192,1520,1388,1016,662,263,128,101,412,225,104,817,954,302,146
3-Jan-12,20,823,147,71,113,1410,1143,614,427,223,91,67,446,279,78,897,809,326,133
3-Jan-12,21,545,131,57,67,1109,988,459,371,229,69,46,406,308,55,810,845,317,115
3-Jan-12,22,411,118,43,55,753,709,334,218,103,37,40,217,101,17,595,560,239,55
3-Jan-12,23,211,62,22,51,417,469,203,180,86,29,26,89,28,18,359,469,215,36
4-Jan-12,0,93,12,4,20,258,249,59,62,46,14,12,15,10,12,149,239,95,16
4-Jan-12,1,86,9,7,7,98,107,31,32,24,20,5,7,3,10,82,61,26,11
4-Jan-12,2,31,9,3,11,38,57,22,13,8,11,0,1,0,4,20,42,17,4
4-Jan-12,3,19,10,4,5,27,50,16,35,7,2,2,2,9,2,31,17,11,30
4-Jan-12,4,12,7,0,2,28,37,10,7,7,4,0,0,0,2,48,50,26,5
4-Jan-12,5,17,38,20,37,40,53,21,13,10,23,9,4,2,10,66,104,46,20
4-Jan-12,6,51,159,105,336,67,105,26,76,52,143,29,39,18,64,140,307,93,50
4-Jan-12,7,166,508,428,1111,176,301,132,245,215,569,184,33,11,188,375,776,238,134
4-Jan-12,8,344,1165,1121,3205,406,644,392,572,500,1324,555,94,27,267,794,2070,521,130
4-Jan-12,9,340,794,584,1163,438,832,602,765,632,667,279,102,40,129,652,1137,293,91
4-Jan-12,10,475,534,340,406,667,1398,1080,1287,923,217,129,113,52,92,648,870,236,81
4-Jan-12,11,720,506,290,358,849,2231,1717,2406,1269,261,137,181,91,163,1109,1239,412,168
4-Jan-12,12,1222,1324,522,637,1156,3224,3022,3550,2238,685,265,366,241,462,1416,2039,518,254
4-Jan-12,13,1457,1362,545,479,1848,3809,3449,4517,2648,656,195,390,231,429,1540,2206,572,369
4-Jan-12,14,1448,688,356,425,2007,3336,3029,3790,1915,310,122,368,200,196,1452,1871,493,495
4-Jan-12,15,1553,558,456,563,2008,3347,2920,3750,1681,327,136,430,268,159,1671,1943,588,400
4-Jan-12,16,1569,561,718,1207,2033,3313,2697,3247,1634,884,391,383,208,292,1747,2431,627,455
4-Jan-12,17,1556,994,1107,2342,2118,3158,2580,3164,1333,1474,630,342,186,438,2052,3283,966,997
4-Jan-12,18,1200,627,420,810,1730,2295,1866,1705,661,509,282,377,210,196,1293,1804,631,1079
4-Jan-12,19,944,398,153,289,1550,1625,1192,761,392,170,138,332,113,102,973,1285,377,229
4-Jan-12,20,754,284,74,169,1328,1299,744,468,290,89,92,347,157,64,719,928,302,150
4-Jan-12,21,534,171,68,114,991,894,511,270,215,69,87,176,74,36,685,871,268,138
4-Jan-12,22,456,118,62,80,794,661,291,266,131,37,51,69,20,29,675,798,272,921
4-Jan-12,23,249,99,16,50,407,445,182,183,93,36,16,45,8,15,321,514,231,37
5-Jan-12,0,75,32,7,22,147,183,78,47,35,19,8,8,2,11,162,188,69,7
5-Jan-12,1,51,17,9,7,71,76,35,35,13,8,7,0,0,3,40,72,35,1
5-Jan-12,2,33,14,8,3,53,42,8,32,3,3,2,10,5,7,24,55,27,1
5-Jan-12,3,22,7,2,1,17,30,20,19,18,1,1,6,8,1,19,24,7,13
5-Jan-12,4,12,28,2,5,37,47,10,5,7,2,0,4,4,0,26,44,32,9
5-Jan-12,5,18,32,12,41,28,47,17,16,17,20,11,7,1,14,59,96,31,24
5-Jan-12,6,52,118,114,291,85,100,51,85,48,153,32,44,20,60,137,283,101,56
5-Jan-12,7,158,497,391,1066,208,263,207,227,230,629,176,67,28,228,417,902,278,217
5-Jan-12,8,402,1241,1156,2998,441,719,472,593,569,1492,446,121,31,357,883,2030,575,364
5-Jan-12,9,406,798,681,1317,583,970,662,915,700,684,291,154,71,157,778,1271,347,146
5-Jan-12,10,547,526,357,524,777,1638,1230,1324,1030,253,156,138,67,106,855,1161,334,171
5-Jan-12,11,722,511,322,465,859,2350,1862,2308,1439,279,131,240,153,153,1114,1347,406,281
5-Jan-12,12,1374,1413,505,712,1383,3417,3092,3922,2476,755,308,425,263,435,1519,2150,545,482
5-Jan-12,13,1649,1467,605,670,2190,3864,3559,4731,2578,650,250,457,279,473,1647,2289,555,459
5-Jan-12,14,1385,726,365,448,2054,3733,2892,3849,1957,313,181,398,221,194,1687,1954,535,423
5-Jan-12,15,1467,571,405,556,2219,3592,2826,3699,1812,316,179,435,231,172,1602,2018,576,313
5-Jan-12,16,1613,617,713,1269,2001,3278,2695,3265,1542,891,374,335,220,245,1646,2197,578,320
5-Jan-12,17,1527,1013,1124,2270,2161,3093,2637,2955,1399,1451,598,353,160,477,1819,3295,1004,443
5-Jan-12,18,1275,556,447,773,1979,2482,2014,2159,843,511,304,339,146,258,1159,1983,607,290
5-Jan-12,19,956,392,170,239,1655,1900,1444,1075,431,193,131,329,184,111,922,1301,358,168
5-Jan-12,20,750,314,75,146,1506,1459,1045,599,336,104,83,262,143,56,691,1041,358,95
5-Jan-12,21,530,177,82,94,1262,1176,538,359,244,70,73,200,93,45,720,912,361,54
5-Jan-12,22,411,115,60,64,804,709,306,211,146,64,14,131,59,19,544,694,233,32
5-Jan-12,23,209,88,39,40,581,606,182,146,90,20,12,49,22,22,328,503,210,21
6-Jan-12,0,94,27,20,31,278,264,86,67,40,15,5,25,15,15,138,219,117,17
6-Jan-12,1,72,11,8,12,160,161,45,26,12,3,3,4,4,0,112,72,42,9
6-Jan-12,2,65,12,7,7,64,79,26,126,33,3,2,15,7,4,41,54,30,3
6-Jan-12,3,27,14,132,2,41,58,21,13,19,3,2,8,5,3,24,36,20,4
6-Jan-12,4,9,38,4,1,31,52,27,6,15,1,1,5,12,4,55,49,43,3
6-Jan-12,5,26,26,21,43,52,63,31,13,11,25,6,10,4,12,50,94,30,10
6-Jan-12,6,33,143,120,300,87,108,42,84,53,144,38,23,10,57,145,283,101,50
6-Jan-12,7,160,448,401,1118,200,251,188,229,252,597,188,73,23,209,405,836,282,184
6-Jan-12,8,425,1161,1097,2709,497,732,522,605,559,1301,431,147,28,335,868,2092,591,310
6-Jan-12,9,354,786,590,1222,575,1004,733,891,748,667,275,122,53,145,640,1189,321,151
6-Jan-12,10,564,515,383,448,868,1578,1335,1382,1015,268,121,213,91,133,780,1062,332,163
6-Jan-12,11,629,588,330,460,996,2286,2140,2113,1508,244,138,275,184,162,1121,1380,361,238
6-Jan-12,12,1342,1534,543,658,1671,3333,3370,3644,2326,734,306,490,319,583,1365,2156,573,355
6-Jan-12,13,1580,1415,595,712,2281,3808,3703,4535,2730,654,304,441,305,447,1645,2244,511,397
6-Jan-12,14,1424,731,383,492,2264,3567,3116,3710,1812,325,186,470,274,264,1621,2020,583,317
6-Jan-12,15,1355,558,410,694,2162,3597,2833,3313,1729,369,154,437,290,197,1580,1969,601,338
6-Jan-12,16,1542,714,692,1378,2298,3400,2866,3310,1683,944,426,336,239,267,1722,2479,639,346
6-Jan-12,17,1736,968,906,1827,2402,3355,2962,3325,1523,1255,526,378,177,434,2042,3242,932,434
6-Jan-12,18,1280,559,346,582,2434,2949,2549,2474,1038,375,260,340,248,200,1295,1902,572,242
6-Jan-12,19,1107,419,180,243,2075,2890,1858,1764,598,161,148,341,235,139,1143,1514,511,181
6-Jan-12,20,1017,365,104,149,1927,2481,1596,1350,439,104,158,373,235,85,1030,1231,399,137
6-Jan-12,21,849,251,100,107,1858,2316,962,653,291,67,121,270,162,59,1011,1213,363,107
6-Jan-12,22,557,182,91,92,1184,1112,425,353,237,54,55,199,94,25,850,1047,361,89
6-Jan-12,23,484,164,81,82,1137,1489,298,300,188,49,56,109,48,31,628,824,344,51
7-Jan-12,0,349,74,42,40,617,737,203,210,135,30,52,70,15,9,395,544,221,24
7-Jan-12,1,198,54,12,19,365,395,123,143,86,11,22,19,6,1,172,255,83,19
7-Jan-12,2,120,30,6,6,245,266,64,124,63,9,23,6,4,3,100,138,72,42
7-Jan-12,3,57,19,16,7,187,211,49,67,47,7,18,10,6,4,73,79,47,12
7-Jan-12,4,55,30,15,5,75,111,30,34,16,1,3,12,11,6,39,76,44,3
7-Jan-12,5,45,19,20,6,35,70,27,35,23,5,3,3,6,4,55,75,43,4
7-Jan-12,6,31,25,19,15,58,94,30,37,21,17,5,12,4,14,50,116,55,15
7-Jan-12,7,48,13,33,18,128,176,67,69,94,41,16,38,14,52,116,279,128,88
7-Jan-12,8,78,0,89,31,198,300,218,187,186,42,43,87,44,82,231,279,100,121
7-Jan-12,9,182,143,85,51,434,698,470,603,463,71,49,155,60,79,452,526,193,158
7-Jan-12,10,412,173,99,68,670,1470,1054,1329,772,68,102,174,93,124,743,837,263,200
7-Jan-12,11,680,242,131,67,1073,2074,1638,2024,1035,74,113,221,117,151,1077,1053,328,245
7-Jan-12,12,935,207,139,47,1546,2462,2252,2473,1427,100,68,308,180,158,1157,1208,388,290
7-Jan-12,13,1111,286,119,84,1850,2783,2436,2838,1454,84,105,426,261,138,1363,1671,536,274
7-Jan-12,14,1140,241,144,63,1985,2988,2594,3277,1600,64,80,467,278,139,1363,1404,469,322
7-Jan-12,15,1332,288,176,74,2096,3146,2710,3447,1549,68,63,505,303,164,1522,1634,460,355
7-Jan-12,16,1274,264,154,92,1995,3020,2802,3049,1329,123,65,355,253,145,1468,1683,465,426
7-Jan-12,17,1083,383,121,70,1812,2399,2132,2132,759,96,72,432,284,91,1269,1435,431,924
7-Jan-12,18,920,383,126,54,1878,1891,1370,1010,451,93,104,494,346,111,1142,1180,350,1904
7-Jan-12,19,776,329,66,31,1517,1472,928,586,282,76,64,483,270,57,1047,1043,319,547
7-Jan-12,20,731,276,86,31,1433,1483,845,496,292,41,78,484,292,42,919,997,358,174
7-Jan-12,21,559,195,47,25,1411,1378,417,412,243,46,62,189,68,29,820,897,252,653
7-Jan-12,22,467,203,68,46,1117,1206,321,347,225,53,71,170,63,47,788,1006,291,1602
7-Jan-12,23,383,150,56,38,732,1132,270,271,201,40,84,167,68,22,603,797,281,72
8-Jan-12,0,258,72,38,20,594,1062,196,247,92,21,44,63,22,7,353,579,239,12
8-Jan-12,1,218,42,14,13,328,824,147,169,82,7,39,29,8,6,195,204,83,12
8-Jan-12,2,95,32,13,13,231,674,104,118,71,6,16,22,9,5,109,148,48,7
8-Jan-12,3,46,29,16,20,231,850,63,108,46,7,9,2,1,4,61,175,78,20
8-Jan-12,4,22,10,2,3,65,229,40,45,23,3,6,8,5,3,23,59,33,14
8-Jan-12,5,25,9,3,4,72,109,16,42,29,7,3,5,4,4,43,38,19,7
8-Jan-12,6,27,11,12,10,49,65,39,23,23,5,2,8,2,3,58,46,32,15
8-Jan-12,7,32,24,23,10,69,115,45,51,55,23,8,29,7,28,77,136,64,26
8-Jan-12,8,79,67,22,19,179,186,107,105,93,37,19,33,15,39,162,242,95,58
8-Jan-12,9,118,108,63,36,462,495,333,406,248,59,65,48,51,53,241,326,98,101
8-Jan-12,10,244,181,79,37,510,942,711,834,596,64,76,109,66,44,507,530,126,97
8-Jan-12,11,490,205,76,51,898,1371,1376,1506,896,84,105,295,294,103,850,911,293,117
8-Jan-12,12,758,241,135,61,1342,1913,1783,2081,985,62,108,405,516,144,1195,1007,294,187
8-Jan-12,13,972,210,116,46,1643,2411,2241,2281,1129,52,81,649,658,136,1330,1158,349,201
8-Jan-12,14,1112,200,126,57,1867,2663,2538,2701,1273,66,65,623,806,143,1574,1401,395,243
8-Jan-12,15,1128,215,133,48,1987,2737,2685,2637,1169,69,117,533,700,150,1522,1469,426,321
8-Jan-12,16,1250,223,118,55,1881,2729,2448,2476,962,83,83,540,615,181,1488,1454,448,360
8-Jan-12,17,1158,141,112,53,1850,2286,1669,1829,597,78,123,536,495,105,1173,1396,487,345
8-Jan-12,18,820,177,86,33,1633,1714,1111,867,329,108,76,464,326,125,965,1325,406,215
8-Jan-12,19,698,104,57,48,1387,1379,763,472,250,60,85,432,200,90,754,879,327,174
8-Jan-12,20,603,115,52,32,1368,997,467,284,222,43,65,298,220,49,629,784,320,129
8-Jan-12,21,460,76,34,64,1005,834,333,244,174,33,55,237,207,42,621,784,261,77
8-Jan-12,22,255,67,31,25,632,592,192,134,109,28,47,108,36,24,404,635,248,60
8-Jan-12,23,165,41,22,31,395,345,121,116,96,20,38,33,33,15,251,364,183,50
9-Jan-12,0,105,26,26,18,214,206,49,59,47,20,18,29,17,1,162,203,105,19
9-Jan-12,1,30,10,7,2,57,55,12,23,34,6,7,15,2,1,40,126,23,9
9-Jan-12,2,29,20,3,7,30,30,26,30,13,0,0,22,7,1,23,42,20,0
9-Jan-12,3,12,9,2,2,27,30,7,7,16,2,4,2,0,1,23,17,4,0
9-Jan-12,4,13,13,0,2,41,29,9,7,6,2,0,1,3,0,33,47,40,0
9-Jan-12,5,19,34,24,50,41,58,13,15,16,26,18,12,11,11,59,108,38,12
9-Jan-12,6,50,185,153,419,96,136,52,85,72,220,78,44,18,66,193,366,127,63
9-Jan-12,7,192,666,583,1621,270,406,214,284,303,805,339,114,43,287,607,1244,363,269
9-Jan-12,8,590,1815,1680,4681,653,864,634,783,787,1925,708,171,49,501,1299,2962,871,481
9-Jan-12,9,492,987,670,1733,576,1031,683,838,772,728,300,153,54,166,733,1425,376,184
9-Jan-12,10,576,620,369,646,809,1698,1164,1309,954,273,145,93,48,107,648,909,232,147
9-Jan-12,11,778,538,358,494,1259,2386,1504,2034,1341,253,136,204,124,140,871,1127,325,176
9-Jan-12,12,1429,1562,620,840,2068,3636,2981,3708,2440,845,380,386,249,449,1373,2150,498,356
9-Jan-12,13,1721,1610,725,962,2348,3985,3476,4629,2766,743,298,407,318,437,1455,2348,648,440
9-Jan-12,14,1360,762,388,575,2090,3439,2617,3448,1772,353,167,338,171,184,1288,1820,539,240
9-Jan-12,15,1345,626,487,774,2167,3204,2621,2775,1525,306,153,256,150,143,1301,1669,464,241
9-Jan-12,16,1404,728,792,1653,2166,3096,2381,2870,1374,969,435,260,197,264,1433,2208,655,344
9-Jan-12,17,1679,1335,1696,3754,2178,2995,2309,2558,1326,2045,843,311,166,587,2188,3852,1210,628
9-Jan-12,18,1308,745,594,1232,2013,2295,1625,1390,599,654,375,281,203,326,1329,1990,692,429
9-Jan-12,19,920,399,191,334,1543,1783,852,616,328,181,154,260,112,163,859,1079,366,217
9-Jan-12,20,727,299,116,155,1251,1800,665,388,216,112,79,335,177,67,698,836,265,142
9-Jan-12,21,422,189,67,106,1020,1062,376,324,197,68,64,228,131,45,701,829,301,109
9-Jan-12,22,278,153,50,61,683,1057,183,180,104,33,38,111,68,21,478,567,241,55
9-Jan-12,23,143,67,20,25,425,472,95,103,78,20,20,26,18,11,321,400,194,19
10-Jan-12,0,63,25,7,17,175,164,52,71,35,4,11,26,14,7,99,181,71,12
10-Jan-12,1,34,14,16,9,46,75,20,46,21,8,0,4,0,1,26,57,11,5
10-Jan-12,2,11,6,1,5,32,44,13,7,8,2,1,4,4,1,17,45,14,18
10-Jan-12,3,13,12,3,3,21,21,9,13,5,2,2,7,4,1,16,28,9,0
10-Jan-12,4,10,18,1,1,19,32,6,9,11,2,0,12,11,3,36,65,33,15
10-Jan-12,5,24,32,22,54,42,72,18,17,12,26,20,9,6,14,63,88,44,17
10-Jan-12,6,66,205,129,419,106,178,70,99,78,261,77,61,15,95,227,387,140,84
10-Jan-12,7,223,630,639,1715,275,381,220,332,342,845,316,118,35,296,584,1250,395,333
10-Jan-12,8,626,1833,1598,4839,647,892,625,780,899,1982,725,194,74,481,1325,3160,927,474
10-Jan-12,9,431,1126,765,1805,550,1007,736,829,736,696,341,172,59,194,755,1528,402,211
10-Jan-12,10,547,597,392,753,807,1486,1092,1184,929,321,159,141,43,91,680,1034,275,166
10-Jan-12,11,727,554,391,585,1132,2200,1494,1965,1222,246,172,168,77,104,1001,1217,376,179
10-Jan-12,12,1339,1483,701,948,2145,3423,2840,3561,2441,877,392,352,197,489,1306,2257,574,413
10-Jan-12,13,1505,1691,703,970,2230,3787,3378,4311,2607,709,251,341,138,484,1363,2160,538,482
10-Jan-12,14,1325,789,421,563,2111,3340,2496,3238,1838,343,190,263,153,179,1280,1804,567,312
10-Jan-12,15,1405,608,498,778,2040,3235,2225,2911,1484,371,185,228,140,126,1165,1815,555,328
10-Jan-12,16,1369,688,864,1752,2066,3135,2072,2633,1323,952,391,190,75,247,1442,2250,628,344
10-Jan-12,17,1606,1310,1662,3581,2084,2881,2203,2547,1238,1904,618,276,120,612,1868,3790,1210,571
10-Jan-12,18,1232,781,590,1318,2070,2241,1499,1406,768,693,356,207,129,329,1289,2100,716,400
10-Jan-12,19,739,392,221,356,1560,1432,864,633,344,193,169,203,93,123,807,1068,353,174
10-Jan-12,20,673,258,82,195,1368,1077,562,376,248,105,84,150,89,66,533,906,266,115
10-Jan-12,21,452,179,90,78,1129,863,367,283,139,51,79,100,45,45,699,856,269,93
10-Jan-12,22,247,154,53,47,685,526,164,166,106,39,36,62,13,21,315,606,199,34
10-Jan-12,23,137,80,46,32,342,300,119,87,65,10,21,17,0,8,182,360,144,10
11-Jan-12,0,57,25,12,14,177,173,39,40,33,9,5,10,9,2,82,134,69,7
11-Jan-12,1,40,17,6,5,83,45,30,92,11,4,7,5,5,3,24,46,29,2
11-Jan-12,2,36,2,2,9,39,53,9,11,7,6,0,3,3,1,13,23,13,1
11-Jan-12,3,6,11,2,0,42,23,15,5,0,2,4,0,1,0,26,21,3,8
11-Jan-12,4,12,7,2,1,15,22,5,3,6,2,2,3,0,3,44,53,38,3
11-Jan-12,5,20,29,27,45,31,55,24,16,13,21,12,6,11,12,64,98,42,28
11-Jan-12,6,57,173,171,415,69,106,44,92,63,255,89,33,4,72,184,358,128,83
11-Jan-12,7,225,642,606,1639,236,350,203,298,289,830,281,76,31,258,588,1148,305,265
11-Jan-12,8,591,1717,1563,4679,514,887,627,788,735,2009,825,139,46,420,1148,3092,820,419
11-Jan-12,9,425,1035,804,1766,517,986,701,824,726,841,356,70,20,138,627,1409,291,147
11-Jan-12,10,462,590,394,603,674,1353,953,1290,1019,263,187,32,6,70,607,808,184,69
11-Jan-12,11,551,486,393,548,893,1985,1514,1786,1268,278,167,70,23,76,817,920,234,108
11-Jan-12,12,1204,1328,564,748,1752,2933,2582,3141,2243,794,320,137,49,264,1116,1611,406,208
11-Jan-12,13,1269,1411,572,769,1838,3187,2979,3732,2423,564,237,90,61,252,1108,1593,369,145
11-Jan-12,14,1251,703,405,568,1768,3004,2257,3090,1833,333,195,105,87,120,1090,1477,406,191
11-Jan-12,15,1134,588,475,782,1801,2958,2190,2901,1458,364,146,116,37,149,1328,1590,427,246
11-Jan-12,16,1347,663,829,1628,1880,2925,2155,2641,1404,928,409,141,63,198,1315,2105,643,274
11-Jan-12,17,1555,1274,1628,3550,1971,2883,2388,2556,1433,1952,791,225,92,504,1961,3826,1195,477
11-Jan-12,18,1180,768,669,1343,1956,2461,1700,1428,733,708,406,197,74,273,1189,2063,674,385
11-Jan-12,19,823,324,218,406,1352,1443,917,637,368,219,180,108,61,116,780,1150,394,218
11-Jan-12,20,726,244,99,264,1246,1242,622,427,289,143,83,78,32,57,475,815,263,162
11-Jan-12,21,421,126,100,140,965,1098,367,284,194,76,75,57,22,27,517,681,170,118
11-Jan-12,22,226,112,31,74,621,755,229,212,125,37,34,38,15,18,481,659,201,26
11-Jan-12,23,211,76,29,53,361,555,122,138,97,13,4,15,19,13,198,339,148,18
12-Jan-12,0,92,18,14,27,192,202,50,64,46,12,10,1,7,3,82,141,53,4
12-Jan-12,1,45,13,5,10,80,59,31,20,14,7,7,0,0,3,22,38,19,0
12-Jan-12,2,16,14,3,6,50,47,23,33,16,0,2,2,2,3,38,22,14,0
12-Jan-12,3,10,14,3,15,13,20,12,10,5,4,5,0,0,0,19,21,10,2
12-Jan-12,4,15,6,1,0,26,29,16,10,7,1,0,0,3,2,40,57,33,8
12-Jan-12,5,26,25,21,54,31,47,19,9,15,30,13,6,2,18,62,81,38,9
12-Jan-12,6,77,208,128,392,78,109,41,87,71,249,66,28,9,54,176,346,127,55
12-Jan-12,7,181,602,639,1659,230,344,184,288,317,792,322,80,16,254,514,1215,308,233
12-Jan-12,8,582,1648,1603,4460,507,843,550,775,759,1936,766,118,35,432,1108,2938,830,377
12-Jan-12,9,480,1143,816,2012,576,978,625,766,782,1008,420,112,42,150,715,1588,345,177
12-Jan-12,10,474,646,418,679,770,1587,989,1246,1081,322,200,94,23,83,687,928,234,164
12-Jan-12,11,660,657,418,620,1027,2061,1590,2097,1358,271,140,83,23,95,919,1112,252,160
12-Jan-12,12,1316,1462,607,827,2037,3319,2893,3558,2477,925,442,287,156,391,1287,1930,526,277
