Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr
2-Jan-11,4,13,21,2,12,31,88,,13,17,5,6,3,1,4,21,41,34,9
2-Jan-11,5,10,3,5,3,15,71,,24,11,0,1,2,0,4,35,69,41,5
2-Jan-11,6,18,18,13,6,46,68,,39,26,7,7,13,8,4,34,65,43,20
2-Jan-11,7,29,37,20,6,52,166,,54,60,15,15,29,36,31,72,161,73,28
2-Jan-11,8,60,68,31,20,164,214,,128,90,40,20,75,46,57,165,252,80,78
2-Jan-11,9,148,113,99,33,302,568,,396,267,70,29,117,41,73,313,388,132,106
2-Jan-11,10,277,141,109,56,476,1213,,1128,574,85,76,167,73,92,794,679,187,135
2-Jan-11,11,636,224,109,71,731,1997,,2231,971,45,78,399,284,166,1194,1015,331,209
2-Jan-11,12,699,231,150,82,1094,2680,,2757,1314,69,77,460,333,196,1634,1372,468,373
2-Jan-11,13,1195,205,138,73,1802,2900,,3171,1404,76,68,731,556,220,1754,1351,527,400
2-Jan-11,14,1141,319,154,49,1937,3031,,3509,1459,75,47,846,574,209,1810,1734,664,492
2-Jan-11,15,1205,241,100,56,1817,3081,,3799,1481,69,68,902,670,224,1947,1911,792,487
2-Jan-11,16,1271,284,99,53,1741,3037,,3442,1264,72,60,786,556,191,1721,1815,555,597
2-Jan-11,17,1072,205,109,54,1792,2807,,2609,778,61,76,839,595,159,1529,1672,707,720
2-Jan-11,18,823,250,135,44,1572,1895,,1134,328,116,103,608,383,144,1154,1474,527,982
2-Jan-11,19,680,212,48,33,1484,1510,,538,255,84,114,507,223,84,880,1154,435,369
2-Jan-11,20,515,121,44,36,1243,1138,,285,157,51,68,374,218,63,834,967,366,118
2-Jan-11,21,422,114,46,18,1047,1051,,339,175,52,61,160,91,75,672,878,370,156
2-Jan-11,22,278,132,67,18,744,807,,265,150,36,60,149,61,42,635,786,388,1183
2-Jan-11,23,254,65,39,20,470,465,,156,62,32,28,82,13,22,378,580,272,29
3-Jan-11,0,78,32,13,9,196,224,,103,35,19,35,46,21,8,225,246,143,7
3-Jan-11,1,45,9,6,6,63,138,,40,36,14,9,28,7,11,124,105,48,13
3-Jan-11,2,24,19,4,2,57,111,,32,16,3,9,5,4,0,61,124,38,18
3-Jan-11,3,20,12,3,1,61,67,,23,10,5,7,8,4,0,42,61,30,0
3-Jan-11,4,11,9,3,3,40,53,,12,10,8,3,14,6,1,27,74,55,4
3-Jan-11,5,6,29,9,3,18,57,,15,11,7,7,4,0,3,36,131,60,2
3-Jan-11,6,22,12,12,16,53,72,,29,19,19,2,15,4,5,39,130,49,24
3-Jan-11,7,35,34,15,8,81,95,,50,49,21,18,17,5,21,66,157,66,34
3-Jan-11,8,67,32,34,21,146,257,,118,93,43,23,59,28,43,139,247,74,77
3-Jan-11,9,155,129,57,32,289,614,,439,288,61,29,96,44,55,301,421,125,77
3-Jan-11,10,310,159,73,34,494,1263,,1109,542,78,40,118,73,108,560,602,251,114
3-Jan-11,11,533,158,92,67,956,2067,,1855,999,60,78,341,246,136,937,941,309,215
3-Jan-11,12,739,190,91,66,1345,2536,,2512,1158,69,100,493,384,143,1355,1260,419,255
3-Jan-11,13,1023,240,96,52,1792,2903,,2974,1444,93,61,644,487,198,1380,1388,467,356
3-Jan-11,14,1216,231,108,67,2077,3097,,3436,1398,72,45,666,501,187,1380,1570,604,336
3-Jan-11,15,1351,255,97,80,2061,3170,,3586,1382,84,58,715,444,166,1519,1779,614,442
3-Jan-11,16,1287,242,83,44,1811,2913,,3243,1159,108,95,653,466,138,1514,1622,516,311
3-Jan-11,17,1177,127,83,46,1779,2523,,2471,778,95,73,529,394,120,1167,1353,489,306
3-Jan-11,18,916,212,81,47,1660,1753,,1140,294,110,66,338,247,148,874,1224,450,208
3-Jan-11,19,591,91,57,31,1385,1331,,485,263,68,80,278,200,57,717,889,344,129
3-Jan-11,20,443,104,46,44,1163,1007,,341,194,58,68,202,114,48,635,807,397,68
3-Jan-11,21,337,126,23,17,837,790,,284,135,40,43,121,69,26,521,785,386,42
3-Jan-11,22,211,57,17,16,533,537,,162,107,21,17,70,12,15,405,540,284,13
3-Jan-11,23,122,44,14,12,364,286,,83,49,30,17,20,21,8,177,359,171,14
4-Jan-11,0,68,19,4,8,128,153,,55,32,18,0,20,10,3,121,171,82,6
4-Jan-11,1,28,2,2,6,47,74,,40,8,1,4,7,1,0,27,35,29,0
4-Jan-11,2,11,7,1,1,38,73,,3,12,0,5,3,1,0,15,33,11,2
4-Jan-11,3,29,6,5,0,10,39,,30,5,3,3,3,0,0,28,27,9,6
4-Jan-11,4,15,11,2,11,9,31,,6,8,0,2,1,0,4,37,59,33,0
4-Jan-11,5,10,29,13,63,42,47,,20,17,24,11,6,0,12,52,80,22,3
4-Jan-11,6,64,130,131,352,95,95,,79,70,163,48,21,18,42,138,300,96,46
4-Jan-11,7,178,522,510,1229,199,301,,206,252,593,301,80,47,179,424,894,278,221
4-Jan-11,8,430,1388,1334,3087,486,633,,587,609,1421,785,173,82,325,847,2105,591,306
4-Jan-11,9,402,823,626,1287,580,934,,803,692,679,288,220,137,134,585,1133,269,118
4-Jan-11,10,504,592,361,530,823,1670,,1369,932,283,187,236,123,120,739,929,274,114
4-Jan-11,11,827,481,331,501,940,2245,,2231,1311,239,166,273,166,132,929,1132,288,187
4-Jan-11,12,1457,1477,555,720,1919,3317,,3628,2445,771,390,434,271,503,1400,1967,515,381
4-Jan-11,13,1616,1504,613,881,2331,4044,,4619,2776,676,337,554,325,495,1504,2292,639,461
4-Jan-11,14,1565,717,373,579,2294,3565,,3663,2128,357,157,515,334,190,1400,1971,592,331
4-Jan-11,15,1653,586,435,653,2180,3554,,3638,1752,307,170,480,302,211,1387,1819,550,427
4-Jan-11,16,1687,630,692,1311,2194,3467,,3435,1660,793,469,439,331,194,1504,2316,590,381
4-Jan-11,17,1506,1026,1249,2399,1990,3019,,2738,1326,1563,843,406,269,423,1763,3136,983,459
4-Jan-11,18,1127,427,475,741,1956,2230,,1390,623,490,277,298,204,223,1140,1653,497,255
4-Jan-11,19,680,191,137,224,1532,1470,,584,275,171,143,278,187,102,743,1037,318,165
4-Jan-11,20,611,150,81,109,1293,1067,,383,225,107,65,266,136,57,719,805,311,100
4-Jan-11,21,428,159,86,108,968,923,,262,222,58,71,283,130,41,648,806,328,42
4-Jan-11,22,245,88,59,44,635,627,,166,134,44,21,109,118,27,490,736,315,20
4-Jan-11,23,180,33,51,29,455,395,,125,60,21,36,33,19,12,268,388,213,12
5-Jan-11,0,65,18,16,4,150,173,,62,43,7,7,14,7,4,164,164,85,18
5-Jan-11,1,24,17,2,10,51,79,,36,16,1,7,0,1,0,27,49,44,10
5-Jan-11,2,20,16,3,2,47,34,,23,10,0,4,3,1,0,18,28,13,0
5-Jan-11,3,14,15,5,5,24,20,,17,11,2,3,0,0,0,18,20,16,0
5-Jan-11,4,17,11,0,8,20,35,,11,6,1,3,0,0,2,38,51,34,8
5-Jan-11,5,24,39,10,68,48,45,,25,12,26,26,2,0,12,49,101,42,16
5-Jan-11,6,56,160,146,353,95,112,,80,51,135,66,21,14,80,134,329,106,42
5-Jan-11,7,154,533,453,1165,176,336,,201,298,569,281,79,29,178,410,871,227,214
5-Jan-11,8,426,1431,1343,3287,513,753,,629,685,1668,750,176,66,342,983,2212,591,309
5-Jan-11,9,365,885,742,1351,572,966,,858,675,752,346,166,80,172,674,1149,283,120
5-Jan-11,10,519,599,396,595,832,1610,,1501,997,311,224,229,117,148,843,1023,327,163
5-Jan-11,11,775,585,362,402,964,2411,,2495,1412,262,163,325,195,186,1061,1212,403,184
5-Jan-11,12,1220,1570,604,665,1822,3485,,4006,2543,802,375,505,329,496,1514,2192,609,404
5-Jan-11,13,1596,1518,628,802,2272,3865,,4751,2719,681,301,522,348,471,1594,2455,630,385
5-Jan-11,14,1393,684,405,508,2128,3767,,3858,1924,355,168,392,261,220,1648,1745,494,401
5-Jan-11,15,1440,554,418,620,1978,3366,,3436,1713,298,192,362,208,172,1452,1825,548,259
5-Jan-11,16,1552,647,729,1405,1883,3286,,3291,1568,832,416,340,173,262,1491,2218,613,335
5-Jan-11,17,1500,1056,1349,2530,1940,3050,,2858,1411,1589,815,313,191,425,1997,3279,964,451
5-Jan-11,18,1160,661,499,883,2013,2331,,1479,731,549,314,331,196,233,1321,1847,606,276
5-Jan-11,19,785,264,167,314,1586,1517,,641,364,167,143,240,125,89,1025,1063,391,152
5-Jan-11,20,607,229,97,187,1281,1395,,428,240,95,83,234,146,62,682,909,236,109
5-Jan-11,21,448,149,81,145,959,1092,,317,196,55,70,178,67,33,676,884,219,50
5-Jan-11,22,268,112,65,88,707,675,,214,103,35,45,95,41,24,720,667,280,31
5-Jan-11,23,169,75,49,65,420,780,,160,92,24,10,61,23,11,274,377,169,23
6-Jan-11,0,59,28,5,31,140,230,,52,40,7,8,8,2,2,129,188,98,16
6-Jan-11,1,23,4,8,6,90,95,,31,26,2,0,4,2,1,25,67,30,12
6-Jan-11,2,15,7,4,7,34,52,,22,8,6,0,0,0,0,18,31,19,3
6-Jan-11,3,4,5,5,6,30,27,,40,7,0,0,1,2,0,19,22,9,0
6-Jan-11,4,11,5,0,5,33,47,,7,8,14,1,0,0,5,35,45,24,4
6-Jan-11,5,14,21,11,49,38,47,,23,16,20,17,8,2,10,48,90,33,20
6-Jan-11,6,55,144,149,364,108,113,,71,49,140,50,31,8,83,152,314,108,54
6-Jan-11,7,153,546,458,1251,194,302,,223,280,636,284,89,25,190,455,885,252,202
6-Jan-11,8,424,1431,1377,3249,454,689,,623,698,1592,732,146,27,325,972,2237,640,298
6-Jan-11,9,396,931,759,1481,552,996,,888,740,777,377,130,79,181,610,1217,276,136
6-Jan-11,10,452,622,392,633,877,1574,,1469,944,345,208,198,137,111,762,942,270,134
6-Jan-11,11,685,571,358,474,921,2265,,2199,1413,282,166,275,203,130,1172,1131,345,187
6-Jan-11,12,1284,1635,642,735,1952,3473,,3788,2564,821,406,494,275,491,1593,2208,539,336
6-Jan-11,13,1539,1572,641,914,2323,3860,,4579,2910,747,310,476,282,491,1941,2381,571,320
6-Jan-11,14,1286,755,418,527,2070,3388,,3515,2053,374,171,434,308,170,1428,1721,444,248
6-Jan-11,15,1214,514,398,686,2095,3386,,3389,1709,381,198,355,220,150,1439,1802,495,219
6-Jan-11,16,1311,669,721,1345,1945,3140,,2999,1457,865,463,293,170,218,2178,2243,595,237
6-Jan-11,17,1297,1089,1300,2468,2039,3097,,2846,1514,1546,804,241,166,390,1929,3098,848,426
6-Jan-11,18,1146,606,501,787,2020,2559,,1932,852,560,322,276,106,257,1458,1744,500,321
6-Jan-11,19,862,331,176,286,1953,1792,,994,438,195,168,421,228,113,1043,1077,337,177
6-Jan-11,20,875,202,123,156,1561,1349,,506,285,116,78,540,389,92,746,891,344,189
6-Jan-11,21,523,178,90,137,1245,1030,,384,283,65,70,445,300,65,824,878,395,170
6-Jan-11,22,403,159,82,56,922,859,,262,139,50,63,276,154,34,871,712,386,50
6-Jan-11,23,285,108,51,34,535,576,,180,108,39,26,108,67,18,462,502,264,30
7-Jan-11,0,95,34,25,13,220,238,,79,53,11,14,55,24,10,163,183,96,12
7-Jan-11,1,85,21,11,4,123,193,,38,18,6,8,3,0,0,74,63,30,3
7-Jan-11,2,11,4,1,10,68,79,,22,10,4,2,2,3,1,41,57,14,5
7-Jan-11,3,18,14,5,0,27,54,,13,20,0,0,2,0,2,34,31,17,3
7-Jan-11,4,16,16,2,6,50,59,,10,18,2,1,5,1,5,45,50,36,15
7-Jan-11,5,16,25,20,65,30,60,,33,22,25,24,3,4,12,50,86,35,8
7-Jan-11,6,47,143,134,327,102,100,,78,58,146,53,29,17,75,150,324,99,70
7-Jan-11,7,156,483,454,1145,188,287,,206,268,595,285,74,20,156,358,870,232,166
7-Jan-11,8,440,1361,1335,3147,459,665,,640,680,1505,700,157,35,285,919,2144,573,244
7-Jan-11,9,343,822,704,1347,504,998,,899,740,714,288,122,41,157,551,1261,281,102
7-Jan-11,10,483,543,418,602,903,1596,,1410,1083,268,151,175,95,86,744,950,295,96
7-Jan-11,11,650,515,311,474,1150,2181,,2189,1281,293,180,130,71,142,849,1150,367,136
7-Jan-11,12,1146,1466,523,839,1789,3123,,3633,2298,768,468,298,175,393,1286,1915,477,186
